t,impulso,maniobra,v,rumbo,fx,fy,normF,dx,dy
1750083022.031,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083022.535,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083023.037,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083023.538,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083024.031,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083024.529,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083025.03,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083025.531,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083026.034,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083026.538,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083027.033,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083027.529,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083028.031,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083028.551,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083029.047,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083029.56,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083030.078,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083030.576,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083031.085,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083031.582,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083032.077,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083032.58,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083033.079,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083033.589,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083034.108,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083034.62,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083035.136,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083035.633,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083036.127,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083036.623,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083037.123,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083037.621,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083038.16,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083038.675,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083039.137,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083039.629,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083040.126,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083040.634,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083041.143,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083041.653,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083042.173,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083042.673,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083043.192,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083043.709,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083044.205,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083044.705,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083045.213,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083045.735,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083046.23,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083046.752,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083047.249,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083047.759,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083048.244,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083048.758,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083049.259,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083049.759,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083050.256,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083050.752,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083051.272,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083051.77,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083052.277,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083052.779,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083053.279,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083053.797,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083054.314,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083054.815,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083055.346,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083055.831,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083056.337,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083056.834,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083057.325,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083057.823,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083058.333,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083058.828,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083059.331,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083059.833,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083060.33,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083060.825,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083061.344,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083061.856,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083062.373,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083062.875,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083063.375,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083063.876,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083064.375,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083064.875,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083065.375,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083065.874,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083066.374,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083066.874,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083067.373,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083067.873,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083068.373,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083068.873,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083069.371,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083069.883,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083070.381,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083070.873,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083071.387,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083071.899,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083072.389,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083072.912,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083073.4,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
